shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
平順里、平心里、平福里活動中心（3樓）,臺中市北屯區,True,300,台中,台中市,45,良好,3265.543357813037,Safe,"水災,震災,土石流",24.1741,120.6877
至善國中（至善館、操場）,臺中市西屯區,True,2179,台中,台中市,45,良好,4500.893835995912,Safe,"水災,震災",24.174335,120.640194
青少年活動中心,臺中市北屯區,True,206,台中,台中市,45,良好,3106.142577901783,Safe,"水災,震災,土石流",24.1744,120.6826
中台科技大學羽球館,臺中市北屯區,True,150,台中,台中市,45,良好,6969.525063831657,Safe,土石流,24.1745,120.7357
大福社區活動中心,臺中市西屯區,True,165,台中,台中市,45,良好,3075.6107873642927,Safe,"水災,震災",24.174643,120.666744
建功國民小學（地下室停車場）,臺中市北屯區,True,575,台中,台中市,45,良好,5304.725942550922,Safe,"水災,震災,土石流",24.175695,120.715938
軍功國民小學（禮堂、操場）,臺中市北屯區,True,1698,台中,台中市,45,良好,5304.725942550922,Safe,"水災,震災,土石流",24.175695,120.715938
福安地區各里聯合活動中心,臺中市西屯區,True,290,台中,台中市,45,良好,6458.957760154267,Safe,"水災,震災",24.176043,120.618029
全興社區活動中心,彰化縣伸港鄉,True,60,台中,台中市,45,良好,19046.887024624728,Safe,"水災,震災,土石流,海嘯",24.176072,120.488453
鵬程里活動中心,臺中市西屯區,True,95,台中,台中市,45,良好,4073.670598760439,Safe,"水災,震災",24.176403,120.648648
瑞峰國小防空避難室,臺中市大肚區,True,100,台中,台中市,45,良好,10547.754421602249,Safe,"水災,震災,土石流,海嘯",24.17668,120.574604
瀋陽公園管理室（活動中心1、2樓）,臺中市北屯區,True,620,台中,台中市,45,良好,3249.1734749593807,Safe,"水災,震災,土石流",24.1769,120.6724
大鵬國小（綜合球場）,臺中市西屯區,True,500,台中,台中市,45,良好,3416.7723187750203,Safe,震災,24.17748,120.6653
僑孝國民小學（活動中心）,臺中市北屯區,True,496,台中,台中市,45,良好,4260.635763979445,Safe,"震災,土石流",24.177756,120.699648
軍功里活動中心,臺中市北屯區,True,117,台中,台中市,45,良好,5602.844026843848,Safe,"水災,震災,土石流",24.177863,120.717838
四箴國中操場、體育館,臺中市龍井區,True,250,台中,台中市,45,良好,10375.442673503378,Safe,"水災,震災,海嘯",24.178195,120.576947
北新國民中學（活動中心）,臺中市北屯區,True,967,台中,台中市,45,良好,4141.486134310197,Safe,"震災,土石流",24.178882,120.695925
竹坑里活動中心,臺中市龍井區,True,30,台中,台中市,45,良好,13405.305179238845,Safe,"水災,海嘯",24.18031,120.546391
龍峰國小操場,臺中市龍井區,True,100,台中,台中市,45,良好,10536.346347847637,Safe,"水災,震災,海嘯",24.180456,120.576147
仁愛國民小學（禮堂三樓、操場）,臺中市北屯區,True,1304,台中,台中市,45,良好,3649.173184569984,Safe,"水災,震災,土石流",24.180481,120.671897
北屯國民小學（禮堂、操場）,臺中市北屯區,True,2250,台中,台中市,45,良好,3649.173184569984,Safe,"水災,震災,土石流",24.180481,120.671897
大德國民中學（操場）,臺中市北屯區,True,825,台中,台中市,45,良好,3682.2534694491433,Safe,"水災,震災,土石流",24.180564,120.669137
翠華村華崗活動中心,南投縣仁愛鄉,True,100,台中,台中市,45,良好,53519.5187215677,Safe,"水災,土石流,海嘯",24.180665,121.199899
大德公園管理室（1、2樓）,臺中市北屯區,True,550,台中,台中市,45,良好,3762.3435771593345,Safe,"水災,震災,土石流",24.1815,120.6719
舊社公園活動中心（1、2樓、室外）,臺中市北屯區,True,1580,台中,台中市,45,良好,4656.640042749151,Safe,"水災,震災,土石流",24.1815,120.7007
西安、西墩、至善里聯合活動中心,臺中市西屯區,True,180,台中,台中市,45,良好,5089.963148509949,Safe,"水災,震災",24.181647,120.639943
北屯區公所六樓禮堂,臺中市北屯區,True,350,台中,台中市,45,良好,4112.485522398224,Safe,"水災,震災,土石流",24.1827,120.6867
