asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
北埔社區活動中心,shelter,"(357958, 2658707)",high,N/A,N,N,N,W3 Hualien City shelter
樹林腳社區活動中心,shelter,"(357405, 2659443)",high,N/A,N,N,N,W3 Hualien City shelter
康樂社區活動中心,shelter,"(358661, 2660883)",medium,N/A,N,N,N,W3 Hualien City shelter
佳民國小收容所,shelter,"(357593, 2660904)",medium,N/A,N,N,N,W3 Hualien City shelter
景美活動中心,shelter,"(358367, 2664063)",high,N/A,N,N,N,W3 Hualien City shelter
大漢社區活動中心,shelter,"(358653, 2658999)",low,N/A,N,N,N,W3 Hualien City shelter
復興南營區,shelter,"(358847, 2659130)",low,N/A,N,N,N,W3 Hualien City shelter
新城鄉立圖書館,shelter,"(358066, 2659348)",medium,N/A,N,N,N,W3 Hualien City shelter
新城鄉原住民文化館,shelter,"(358128, 2659414)",medium,N/A,N,N,N,W3 Hualien City shelter
禪光育幼院,shelter,"(362785, 2668804)",low,N/A,N,N,N,W3 Hualien City shelter
秀林國小收容所,shelter,"(360205, 2667977)",high,N/A,N,N,N,W3 Hualien City shelter
順安農宅示範中心,shelter,"(361434, 2667876)",low,N/A,N,N,N,W3 Hualien City shelter
北三棧社區活動中心,shelter,"(359846, 2666618)",medium,N/A,N,N,N,W3 Hualien City shelter
天主教聲遠之家,shelter,"(362948, 2668902)",low,N/A,N,N,N,W3 Hualien City shelter
新城社區活動中心,shelter,"(362839, 2669147)",low,N/A,N,N,N,W3 Hualien City shelter
興田社區活動中心,shelter,"(362332, 2669296)",low,N/A,N,N,N,W3 Hualien City shelter
富世活動中心,shelter,"(360572, 2671218)",very_high,N/A,N,N,N,W3 Hualien City shelter
Node_649286214,bottleneck,"(357186, 2652146)",medium,0.13944443589230462,N,N,N,W7 Top-5 bottleneck
Node_649286213,bottleneck,"(356987, 2652131)",medium,0.1402465410870454,N,N,N,W7 Top-5 bottleneck
和平活動中心,shelter,"(372987, 2688932)",high,N/A,N,N,N,W3 Hualien City shelter
崇德國小收容所,shelter,"(363098, 2672821)",high,N/A,N,N,N,W3 Hualien City shelter
Node_1074772659,bottleneck,"(357093, 2653284)",low,0.11573285851852992,N,N,N,W7 Top-5 bottleneck
Node_929963021,bottleneck,"(358378, 2653051)",high,0.12347998542715373,N,N,N,W7 Top-5 bottleneck
Node_1061487893,bottleneck,"(356395, 2652081)",high,0.12530706458062874,N,N,N,W7 Top-5 bottleneck
Mataian_Hwy9_Bridge,guangfu_node,"(337816, 2615051)",N/A,N/A,N,N,N,W8 Guangfu overlay
